name,ra,dec,t_zero,period,width
103551_AD_CYCLE1807_DC,320.062801110581,-51.3036169881897,2457881.980185185,21.95318317859375,3.2131944444444445
103551_AD_CYCLE1807,320.062801110581,-51.3036169881897,2457881.980914352,21.95312690518854,3.2131944444444445
103555_AD_CYCLE1807_DC,319.581272774095,-52.1127860840665,2457865.642962963,2.735294467658403,1.8053472222222222
103555_AD_CYCLE1807,319.581272774095,-52.1127860840665,2457865.641736111,2.7353410728330094,1.8053472222222222
103559_AD_CYCLE1802,229.801168209945,-25.8889236337737,2457779.9725810187,1.4088091334308912,11.119944444444446
103559_AD_CYCLE1807_DC,229.801168209945,-25.8889236337737,2457781.4583333335,3.315141999986366,1.8164
103559_AD_CYCLE1807,229.801168209945,-25.8889236337737,2457779.961087963,1.4089115891234376,11.123861111111113
103625_AD_CYCLE1807_DC,79.7922916200833,-26.4872516201614,2457290.295717593,4.247206714864097,1.8138388888888888
103625_AD_CYCLE1807,79.7922916200833,-26.4872516201614,2457293.120949074,5.66404345106779,2.4193722222222225
103625_AD_CAL_TEST_OLD,79.7922916200833,-26.4872516201614,2457292.9054166665,12.303931068376853,4.7055
103625_AD_CAL_TEST_NEW,79.7922916200833,-26.4872516201614,2457292.496388889,9.31794689822941,4.994027777777778
103646_AD_CYCLE1807_DC,73.9778676928673,-30.8878298042793,2457988.491863426,9.306434711927094,3.4678611111111106
103646_AD_CYCLE1807,73.9778676928673,-30.8878298042793,2457982.7733333334,0.9326094628909734,7.268472222222222
103867_AD_CYCLE1807_DC,72.9005556154595,-34.2262452705686,2457982.1087268516,3.2415616114800345,2.7157305555555555
103867_AD_CYCLE1807,72.9005556154595,-34.2262452705686,2457982.123611111,3.241007913486713,2.1903694444444444
103934_AD_CYCLE1807_DC,168.563891432524,-37.91014878055,2458100.619282407,3.467939983409467,2.415161111111111
103934_AD_CYCLE1807,168.563891432524,-37.91014878055,2458100.6199768516,3.4679256365107984,2.415161111111111
103951_AD_CYCLE1807_DC,354.249427868869,-40.0682836525989,2457523.738715278,21.621770891123727,2.1957722222222222
103951_AD_CYCLE1807,354.249427868869,-40.0682836525989,2457523.763576389,21.61815760624456,2.1955
103952_AD_CYCLE1802,332.759193871907,-27.2956898857971,2457869.502465278,3.5506493529121412,3.849833333333333
